timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1537690903729,56561,make_product,200,OK,login_make_delete_logout 1-6,text,true,,1104888,512,10,10,http://193.105.219.194:8080/api/gds-release/v1/products,1679,0,1049
1537690924832,41597,get_product_list,200,OK,login_make_delete_logout 1-3,text,true,,1105320,217,10,10,http://193.105.219.194:8080/api/gds-release/v1/products?includeInactive=true,1417,0,156
1537690966468,221,delete_product,200,OK,login_make_delete_logout 1-3,text,true,,300,287,10,10,http://193.105.219.194:8080/api/gds-release/v1/products/5823,221,0,100
1537690966690,109,post_logout,200,OK,login_make_delete_logout 1-3,,true,,251,314,10,10,http://193.105.219.194:8080/api/gds-release/v1/auth/logout,109,0,0
1537690966802,1198,get_login,200,OK,login_make_delete_logout 1-3,text,true,,1371,133,10,10,http://eds_university.eleks.com/login,1198,0,1098
1537690968002,378,post_login,200,OK,login_make_delete_logout 1-3,text,true,,461,278,10,10,http://193.105.219.194:8080/api/gds-release/v1/auth/login,378,0,98
1537690968382,368,get_product_family,200,OK,login_make_delete_logout 1-3,text,true,,8609,247,10,10,http://193.105.219.194:8080/api/gds-release/v1/product-family,368,0,0
1537690934181,49278,get_product_list,200,OK,login_make_delete_logout 1-9,text,true,,1105320,217,10,10,http://193.105.219.194:8080/api/gds-release/v1/products?includeInactive=true,967,0,68
1537690943001,40479,get_product_list,200,OK,login_make_delete_logout 1-10,text,true,,1105320,217,10,10,http://193.105.219.194:8080/api/gds-release/v1/products?includeInactive=true,830,0,43
1537690983497,652,delete_product,200,OK,login_make_delete_logout 1-9,text,true,,300,287,10,10,http://193.105.219.194:8080/api/gds-release/v1/products/6972,652,0,304
1537690983504,645,delete_product,200,OK,login_make_delete_logout 1-10,text,true,,300,287,10,10,http://193.105.219.194:8080/api/gds-release/v1/products/5319,645,0,307
1537690984152,348,post_logout,200,OK,login_make_delete_logout 1-9,,true,,251,314,10,10,http://193.105.219.194:8080/api/gds-release/v1/auth/logout,348,0,0
1537690984152,347,post_logout,200,OK,login_make_delete_logout 1-10,,true,,251,314,10,10,http://193.105.219.194:8080/api/gds-release/v1/auth/logout,347,0,0
1537690984504,656,get_login,200,OK,login_make_delete_logout 1-9,text,true,,1371,133,10,10,http://eds_university.eleks.com/login,656,0,326
1537690984504,666,get_login,200,OK,login_make_delete_logout 1-10,text,true,,1371,133,10,10,http://eds_university.eleks.com/login,666,0,326
1537690985163,1146,post_login,200,OK,login_make_delete_logout 1-9,text,true,,461,278,10,10,http://193.105.219.194:8080/api/gds-release/v1/auth/login,1146,0,359
1537690985171,1138,post_login,200,OK,login_make_delete_logout 1-10,text,true,,461,278,10,10,http://193.105.219.194:8080/api/gds-release/v1/auth/login,1138,0,359
1537690986311,432,get_product_family,200,OK,login_make_delete_logout 1-9,text,true,,8609,247,10,10,http://193.105.219.194:8080/api/gds-release/v1/product-family,431,0,0
1537690986312,828,get_product_family,200,OK,login_make_delete_logout 1-10,text,true,,8609,247,10,10,http://193.105.219.194:8080/api/gds-release/v1/product-family,828,0,0
1537690937821,49318,get_product_list,200,OK,login_make_delete_logout 1-1,text,true,,1105320,217,10,10,http://193.105.219.194:8080/api/gds-release/v1/products?includeInactive=true,818,0,89
1537690987180,2911,delete_product,200,OK,login_make_delete_logout 1-1,text,true,,300,287,10,10,http://193.105.219.194:8080/api/gds-release/v1/products/4778,2911,0,370
1537690942045,51254,get_product_list,200,OK,login_make_delete_logout 1-5,text,true,,1105320,217,10,10,http://193.105.219.194:8080/api/gds-release/v1/products?includeInactive=true,2113,0,1035
1537690990092,4238,post_logout,200,OK,login_make_delete_logout 1-1,,true,,251,314,10,10,http://193.105.219.194:8080/api/gds-release/v1/auth/logout,4238,0,187
1537690994332,387,get_login,200,OK,login_make_delete_logout 1-1,text,true,,1371,133,10,10,http://eds_university.eleks.com/login,387,0,197
1537690994720,2120,post_login,200,OK,login_make_delete_logout 1-1,text,true,,461,278,10,10,http://193.105.219.194:8080/api/gds-release/v1/auth/login,2120,0,209
1537690993346,3605,delete_product,200,OK,login_make_delete_logout 1-5,text,true,,300,287,10,10,http://193.105.219.194:8080/api/gds-release/v1/products/4596,3605,0,173
1537690946531,51290,get_product_list,200,OK,login_make_delete_logout 1-7,text,true,,1105320,217,10,10,http://193.105.219.194:8080/api/gds-release/v1/products?includeInactive=true,1003,0,42
1537690996952,1338,post_logout,200,OK,login_make_delete_logout 1-5,,true,,251,314,10,10,http://193.105.219.194:8080/api/gds-release/v1/auth/logout,1338,0,187
1537690996842,1548,get_product_family,200,OK,login_make_delete_logout 1-1,text,true,,8609,247,10,10,http://193.105.219.194:8080/api/gds-release/v1/product-family,1548,0,187
1537690997852,977,delete_product,200,OK,login_make_delete_logout 1-7,text,true,,300,287,10,10,http://193.105.219.194:8080/api/gds-release/v1/products/7206,977,0,187
1537690998292,1295,get_login,200,OK,login_make_delete_logout 1-5,text,true,,1371,133,10,10,http://eds_university.eleks.com/login,1295,0,1138
